"eaf001",NA,"Allston; Washington","Monaldi",NA,NA,1841,NA,NA
"eaf002",NA,"Bacon; Delia Salter","Tales of the puritans",NA,NA,1831,NA,NA
"eaf003",NA,"Bacon; Delia Salter","Love's martyr",NA,NA,1838,NA,NA
"eaf004",NA,"Bacon; Delia Salter","The bride of Fort Edward",NA,NA,1839,NA,NA
"eaf005",NA,"Belknap; Jeremy","The foresters",NA,NA,1792,NA,NA
"eaf006",NA,"Bennett; Emerson","The bandits of the Osage",NA,NA,1847,NA,NA
"eaf007",NA,"Bennett; Emerson","Kate Clarendon or Necromancy in the wilderness",NA,NA,1848,NA,NA
"eaf008",NA,"Bennett; Emerson","The renegade",NA,NA,1848,NA,NA
"eaf009",NA,"Bennett; Emerson","The trapper's bride or Spirit of adventure",NA,NA,1848,NA,NA
"eaf011",NA,"Bennett; Emerson","Oliver Goldfinch or The hypocrite",NA,NA,1850,NA,NA
"eaf012",NA,"Brackenridge; H. H. (Hugh Henry)","Modern chivalry Vol. 4",NA,NA,1815,NA,NA
"eaf013v1",NA,"Bird; Robert Montgomery","Calavar or The knight of the conquest Vol.1",NA,NA,1834,NA,NA
"eaf013v2",NA,"Bird; Robert Montgomery","Calavar or The knight of the conquest Vol.2",NA,NA,1834,NA,NA
"eaf014v1",NA,"Bird; Robert Montgomery","The Hawks of Hawk-Hollow I",NA,NA,1835,NA,NA
"eaf014v2",NA,"Bird; Robert Montgomery","The Hawks of Hawk-Hollow II",NA,NA,1835,NA,NA
"eaf015v1",NA,"Bird; Robert Montgomery","The infidel or The fall of Mexico Vol.1",NA,NA,1835,NA,NA
"eaf015v2",NA,"Bird; Robert Montgomery","The infidel or The fall of Mexico Vol.2",NA,NA,1835,NA,NA
"eaf016v1",NA,"Bird; Robert Montgomery","Sheppard Lee I",NA,NA,1836,NA,NA
"eaf016v2",NA,"Bird; Robert Montgomery","Sheppard Lee II",NA,NA,1836,NA,NA
"eaf017v1",NA,"Bird; Robert Montgomery","Nick of the woods or The Jibbenainosay Vol.1",NA,NA,1837,NA,NA
"eaf017v2",NA,"Bird; Robert Montgomery","Nick of the woods or The Jibbenainosay Vol.2",NA,NA,1837,NA,NA
"eaf018v1",NA,"Bird; Robert Montgomery","Peter Pilgrim or A rambler's recollections Vol.1",NA,NA,1838,NA,NA
"eaf018v2",NA,"Bird; Robert Montgomery","Peter Pilgrim or A rambler's recollections Vol.2",NA,NA,1838,NA,NA
"eaf019v1",NA,"Bird; Robert Montgomery","The adventures of Robin Day Vol.1",NA,NA,1839,NA,NA
"eaf019v2",NA,"Bird; Robert Montgomery","The adventures of Robin Day Vol.2",NA,NA,1839,NA,NA
"eaf020v1",NA,"Brackenridge; H. H. (Hugh Henry)","Modern chivalry Vol.1",NA,NA,1797,NA,NA
"eaf020v2",NA,"Brackenridge; H. H. (Hugh Henry)","Modern chivalry Vol.2",NA,NA,1797,NA,NA
"eaf022",NA,"Brackenridge; H. H. (Hugh Henry)","Modern chivalry Vol.2",NA,NA,1792,NA,NA
"eaf023",NA,"Brainard; John G. C. (John Gardiner Calkins)","Letters found in the ruins of Fort Braddock including an interesting American tale",NA,NA,1824,NA,NA
"eaf024",NA,"Briggs; Charles F. (Charles Frederick)","Bankrupt stories",NA,NA,1843,NA,NA
"eaf025v1",NA,"Briggs; Charles F. (Charles Frederick)","The adventures of Harry Franco I",NA,NA,1839,NA,NA
"eaf025v2",NA,"Briggs; Charles F. (Charles Frederick)","The adventures of Harry Franco II",NA,NA,1839,NA,NA
"eaf026",NA,"Brooks; Maria Gowen","Idomen or The vale of Yumuri",NA,NA,1843,NA,NA
"eaf027",NA,"Brown; Charles Brockden","Wieland or The transformation",NA,NA,1798,NA,NA
"eaf028v1",NA,"Brown; Charles Brockden","Edgar Huntly or Memoirs of a sleep-walker Vol.1",NA,NA,1799,NA,NA
"eaf028v2",NA,"Brown; Charles Brockden","Edgar Huntly or Memoirs of a sleep-walker Vol.2",NA,NA,1799,NA,NA
"eaf028v3",NA,"Brown; Charles Brockden","Edgar Huntly or Memoirs of a sleep-walker Vol.3",NA,NA,1799,NA,NA
"eaf029",NA,"Brown; Charles Brockden","Ormond or The secret witness",NA,NA,1799,NA,NA
"eaf030v1",NA,"Brown; Charles Brockden","Arthur Mervyn or Memoirs of the year 1793 Vol.1",NA,NA,1799,NA,NA
"eaf030v2",NA,"Brown; Charles Brockden","Arthur Mervyn or Memoirs of the year 1793 Vol.2",NA,NA,1799,NA,NA
"eaf031",NA,"Brown; Charles Brockden","Clara Howard",NA,NA,1801,NA,NA
"eaf032",NA,"Brown; Charles Brockden","Jane Talbot",NA,NA,1801,NA,NA
"eaf034v1",NA,"Brown; William Hill","The power of sympathy or The triumph of nature Vol.1",NA,NA,1789,NA,NA
"eaf034v2",NA,"Brown; William Hill","The power of sympathy or The triumph of nature Vol.2",NA,NA,1789,NA,NA
